scenario_id,condition,repeat_id,token_tv_to_canonical,constrained_full_law_tv,posterior_js_to_canonical,reference_js_change,directional_inner_product,directional_cosine,direction_correct,js_to_new_reference,observed_mass,residual_mass
20260811-081,irrelevant-distractor,1,0.00522012870981762,0.005220128709816586,0.10728814742440407,-4.475525354037582e-17,1.0853941862685588e-12,0.0435336171145196,True,0.02105796821557595,1.000000039348407,0.0
20260811-081,irrelevant-distractor,0,3.535442340807247e-05,3.547539554330973e-05,0.02341774288841173,-4.475525354037582e-17,5.767134191416983e-14,0.005126624230074324,True,0.08493561383528159,0.9999998790235871,1.209764125542634e-07
20260811-082,irrelevant-distractor,0,0.4931651966259552,0.49316518062686177,0.00042438587375320726,3.485152972748631e-18,-4.141685048148004e-13,-0.22779503174214566,False,0.05375722145489262,0.9999999126912341,8.730876721596559e-08
20260811-036,irrelevant-distractor,1,1.0517415052410173e-07,1.9219251075111968e-07,0.00039523348291454585,5.0567337645962576e-17,4.779011048147381e-13,0.5994890658046801,True,0.030868591315695037,1.00000000142012,0.0
20260811-124,irrelevant-distractor,0,1.7196647145880623e-06,1.7507321729020838e-06,0.0019071124001537824,-8.095990808073026e-18,9.020883183605992e-13,0.3485886751774815,True,0.024029811233074273,0.9999999586510671,4.134893383245242e-08
20260811-124,contradict-replace-one,1,0.002008284845883948,0.0020082848461191174,0.11176433763511938,0.2878977623615262,0.24730721817611506,0.6756755641129069,True,0.22461573276683267,1.000000026798888,0.0
20260811-124,irrelevant-distractor,1,2.7478807216163827e-06,2.7478805095073396e-06,0.003730340640225746,-8.095990808073026e-18,-5.364233684901449e-13,-0.12127078698973366,False,0.040795651395822884,0.999999873696479,1.2630352064224581e-07
20260811-083,contradict-replace-one,1,0.04585211270944133,0.0458521539461289,0.12561545748935649,0.2075574792193932,0.29289199034199287,0.9194851599318395,True,0.022222075652602542,0.999999968838533,3.116146607418102e-08
20260811-125,irrelevant-distractor,1,0.056563294688184836,0.056563363221515256,0.07236969844493936,1.0180281479894034e-18,2.439669089238147e-12,0.3096867320544428,True,0.04326597220966244,0.9999999049040861,9.509591347711677e-08
20260811-124,contradict-replace-one,0,0.003849984659986488,0.003849984460904252,0.1326172067188364,0.2878977623615262,0.29027148707664335,0.739538044921543,True,0.19793926139872797,0.9999999482685251,5.173147588077853e-08
20260811-125,contradict-replace-one,0,0.00358897876633603,0.0035889787322175024,0.0514803804860335,0.29682583385804423,0.21835597075188135,0.6775150140219598,True,0.00021426914024421295,0.9999999531721571,4.682784271459184e-08
20260811-125,irrelevant-distractor,0,0.02955824996805125,0.029558250002193157,0.07112570625023618,1.0180281479894034e-18,2.541340039074111e-12,0.32500422183762034,True,0.0429593277072262,1.000000014030752,0.0
20260811-126,irrelevant-distractor,1,0.0034787923336982657,0.0034787923049952856,0.006065640189329698,2.305446969182383e-17,5.985790725058992e-15,0.0006975694202982655,True,0.17534965744887188,0.9999998992654221,1.0073457878956305e-07
20260811-126,contradict-replace-one,0,0.49831068266019285,0.49831068266025824,0.11959439966140552,0.30580924828719,0.45572251906793826,0.8342569062763573,True,0.0017464363312973822,1.000000058031649,0.0
20260811-126,irrelevant-distractor,0,0.0033059972819081424,0.0033059972630902724,0.002718580216124604,2.305446969182383e-17,-7.045645521277055e-14,-0.012833715013701669,False,0.16399606287532179,0.9999999128705861,8.712941423905107e-08
20260811-125,contradict-replace-one,1,0.003589319404090084,0.0035893193699528653,0.0669061664255496,0.29682583385804423,0.24812946360668933,0.67356037136158,True,0.0019178406729781338,0.9999999701452891,2.985471103666981e-08
20260811-126,contradict-replace-one,1,0.04205198685885727,0.04205202891758167,0.09463687565835621,0.30580924828719,0.4073948782372538,0.837094916825668,True,0.002861873917505282,0.99999994191674,5.808326097866967e-08
20260811-127,irrelevant-distractor,1,0.00030608701427534737,0.00030608701185928956,0.016663324181158068,-3.022678661124868e-17,-1.5001152430893857e-13,-0.024104359840843654,False,0.008048851653944845,0.9999999629439721,3.705602835690769e-08
20260811-083,irrelevant-distractor,1,0.03924407852369174,0.03924408175467204,0.039830743274041354,-1.6611518864735096e-17,1.2226420574640114e-11,0.8098708459583985,True,0.17875108261354372,1.000000038063828,0.0
20260811-127,contradict-replace-one,1,0.00027539156192753266,0.0002753915815638925,0.02129936151328761,0.2620720418785721,0.07914171462748039,0.666407344507236,True,0.16212233266235612,0.999999996341792,3.658208402868013e-09
20260811-127,contradict-replace-one,0,0.0005601088168414542,0.0005601088387688055,0.017375892020740368,0.2620720418785721,0.07159564919893333,0.6578556300164661,True,0.16835086707838942,1.000000011288124,0.0
20260811-127,irrelevant-distractor,0,0.005586868533533695,0.005586868555481611,0.0048410877681888745,-3.022678661124868e-17,-1.898417659238557e-13,-0.05634718126405588,False,0.012673849912143199,1.000000039273141,0.0
